,Subrub_Name,Latitude,Longitude
0,Lake Darlot,-23.992438,134.050443
1,North Boyanup,-33.43425,115.686252
2,Meelon,-32.7,115.93333
3,Napier,-35.25703,146.77485
4,South Plantations,-24.850073,113.744603
5,South Lake,-23.992438,134.050443
6,Orana,-34.99601,117.85925
7,Yallabatharra,-28.207684,114.306337
8,Carnarvon,-24.885093,113.658465
9,Holmwood,-29.03197,115.60415
10,Meadow,-23.992438,134.050443
11,Nalyerlup,-23.992438,134.050443
12,Gledhow,-35.007359,117.828427
13,Ginginup,-31.181843,115.923067
14,Cockatoo Springs,-23.992438,134.050443
15,Embleton,-31.902106,115.91083
16,Boorabbin,-31.20764,120.30864
17,Madora Bay,-32.469241,115.752635
18,Throssell,-23.992438,134.050443
19,Bruce Rock,-23.992438,134.050443
20,Meadow Springs,-23.992438,134.050443
21,Youngs Siding,-34.316951,148.294442
22,South Kumminin,-32.2,118.33333
23,Yalgoo,-28.33333,116.68333
24,Swan View,-31.882356,116.052167
25,Hillman,-32.2822,115.764226
26,Lake Argyle,-15.791947,128.693418
27,Abba River,-23.992438,134.050443
28,North Jindong,-23.992438,134.050443
29,Pearsall,-31.781469,115.819937
30,Kellerberrin,-31.627991,117.710861
31,Beenong,-33.04496,118.58526
32,Massey Bay,-36.21667,142.86667
33,Little Grove,-23.992438,134.050443
34,Safety Bay,-32.305638,115.73654
35,Alfred Cove,-32.032928,115.817358
36,Baudin,-23.992438,134.050443
37,Bakers Hill,-23.992438,134.050443
38,Narrogin Valley,-32.919677,117.09208
39,Peak Hill,-23.992438,134.050443
40,Yuna,-28.33333,115.0
41,Koomberkine,-31.1,117.03333
42,Brockman,-23.992438,134.050443
43,Robinson,48.78016,2.259647
44,Geegully Creek,-23.992438,134.050443
45,Southampton,32.253521,-64.835012
46,Baldivis,-32.322549,115.829396
47,Jennacubbine,-31.45,116.73333
48,Dampier Archipelago,-23.992438,134.050443
49,Reedy,-27.15,118.26667
50,Morangup,-31.648832,116.347092
51,Wickham,-32.916821,151.759992
52,Cliff Head,-23.992438,134.050443
53,Banjup,-32.141369,115.884426
54,Narembeen,-32.061908,118.394023
55,Goodlands,-20.035,57.64306
56,Zanthus,-31.03511,123.57749
57,Greenhills,-31.9208,116.96435
58,Bluff Point,-23.992438,134.050443
59,Eglinton,-31.58677,115.68878
60,Bodallin,-31.37658,118.8761
